family,model,test_f1_macro,test_accuracy
classical,TF-IDF + SVC,0.6686789738725382,0.7002533909673573
deep,GloVe BiLSTM,0.6551661294897166,0.6926516619466389
transformer,DeBERTaV3_train_pool,0.7510812492382728,0.7791026978685348
