Model | Split,accuracy,f1_macro,f1_weighted,loss,model_name,metric_split
GloVe BiLSTM [cerf] | eval,0.5934360348292029,0.6026179931249024,0.6005301829938762,,GloVe BiLSTM [cerf],eval
GloVe BiLSTM [cambridge] | eval,0.5437956204379562,0.5316323731138546,0.5240329218106996,,GloVe BiLSTM [cambridge],eval
TF-IDF + SVC [cerf] | eval,0.5244474212993971,0.524385395147811,0.5191996324923377,,TF-IDF + SVC [cerf],eval
TF-IDF + SVC [cambridge] | eval,0.5620437956204379,0.5142095767747489,0.5423036175949415,,TF-IDF + SVC [cambridge],eval
TF-IDF + LogReg [cerf] | eval,0.5170797052913597,0.5045640935786895,0.5008440683736028,,TF-IDF + LogReg [cerf],eval
TF-IDF + LogReg [asap_aes] | eval,0.5168054270736971,0.48665155149245193,0.513196355862802,,TF-IDF + LogReg [asap_aes],eval
TF-IDF + LogReg [cambridge] | eval,0.5145985401459854,0.4777326606783971,0.488383589351167,,TF-IDF + LogReg [cambridge],eval
DeBERTaV3_train_pool [cerf] | eval,0.5271265907568654,0.47172142739311135,0.4884275522833967,,DeBERTaV3_train_pool [cerf],eval
GloVe CNN [cerf] | eval,0.4755525787006028,0.46901230562852986,0.4713734894353851,,GloVe CNN [cerf],eval
TF-IDF + XGBoost [cambridge] | eval,0.5401459854014599,0.46293883543305214,0.4971632201464049,,TF-IDF + XGBoost [cambridge],eval
RoBERTa_train_pool [cerf] | eval,0.5083724045545881,0.4615078423688992,0.4754635056812469,,RoBERTa_train_pool [cerf],eval
TF-IDF + SVC [asap_aes] | eval,0.49899784150477955,0.4516306720370418,0.4829876375121806,,TF-IDF + SVC [asap_aes],eval
DeBERTaV3_train_pool [cambridge] | eval,0.49635036496350365,0.45154725585821914,0.4372911761701791,,DeBERTaV3_train_pool [cambridge],eval
DistilBERT_train_pool [cerf] | eval,0.4795713328868051,0.4515103619410013,0.4602645616354244,,DistilBERT_train_pool [cerf],eval
GloVe CNN [cambridge] | eval,0.5218978102189781,0.44976660052569684,0.4690033480083393,,GloVe CNN [cambridge],eval
RoBERTa_train_pool [cambridge] | eval,0.4854014598540146,0.4478847164359532,0.4339366071330684,,RoBERTa_train_pool [cambridge],eval
GloVe MLP [cerf] | eval,0.4681848626925653,0.44571625912059654,0.4461165173278259,,GloVe MLP [cerf],eval
DistilBERT_train_pool [cambridge] | eval,0.4854014598540146,0.4437040809589829,0.4531938927602302,,DistilBERT_train_pool [cambridge],eval
GloVe CNN [asap_aes] | eval,0.4971477027443725,0.4382008180682237,0.4520735959415534,,GloVe CNN [asap_aes],eval
DeBERTaV3_train_pool [commonlit] | eval,0.4533135718822782,0.42460325022535156,0.4514373890160922,,DeBERTaV3_train_pool [commonlit],eval
