Model | Split,accuracy,f1_macro,f1_weighted
TF-IDF + XGBoost [sentiment_5k] | test,0.8872503840245776,0.886595983921668,0.8865959839216679
TF-IDF + XGBoost [sentiment_5k] | val,0.8847926267281107,0.8840909650039074,0.8840909650039075
LC | TF-IDF + XGBoost | sentiment_5k,,0.8840909650039074,
LC | GloVe MLP | sentiment_5k,,0.8555121084374109,
GloVe MLP [sentiment_5k] | val,0.8549155145929339,0.8555121084374109,0.8555121084374111
GloVe MLP [sentiment_5k] | test,0.8533026113671275,0.8538886943528129,0.8538886943528129
TF-IDF + SVC [sentiment_1k] | test,0.7300307219662059,0.725160770566548,0.725160770566548
LC | TF-IDF + SVC | sentiment_1k,,0.7199530716205518,
TF-IDF + SVC [sentiment_1k] | val,0.7250384024577573,0.7199530716205518,0.7199530716205519
TF-IDF + LogReg [sentiment_1k] | test,0.6799539170506912,0.6754883799524524,0.6754883799524524
GloVe MLP [sentiment_1k] | test,0.6728878648233487,0.6731405530840584,0.6731405530840584
TF-IDF + LogReg [sentiment_1k] | val,0.6759600614439324,0.6710775211813252,0.6710775211813254
LC | TF-IDF + LogReg | sentiment_1k,,0.6710775211813252,
LC | GloVe MLP | sentiment_1k,,0.6684234989917982,
GloVe MLP [sentiment_1k] | val,0.6678187403993856,0.6684234989917982,0.6684234989917983
LC | TF-IDF + XGBoost | sentiment_1k,,0.5964178096860959,
TF-IDF + XGBoost [sentiment_1k] | val,0.601305683563748,0.5964178096860959,0.596417809686096
TF-IDF + XGBoost [sentiment_1k] | test,0.5994623655913979,0.5955573046013216,0.5955573046013216
DistilBERT_1k_test | val,0.3098310291858679,0.2637353837796693,0.2637353837796694
DistilBERT_1k_test | test,0.30783410138248846,0.262037914667664,0.262037914667664
LC | Majority Class | sentiment_60k,,0.03571428571428571,
Majority Class [sentiment_60k] | test,0.14285714285714285,0.03571428571428571,0.03571428571428571
Majority Class [sentiment_60k] | val,0.14285714285714285,0.03571428571428571,0.03571428571428571
