loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.26357412923923,3.8071987628936768,1.4185139439641165e-05,1.0,10910,,,,,,,,,,,
,,,1.0,10910,1.2003624439239502,0.48108837645225605,0.48727442855233255,267.4983,279.665,8.74,,,,,
1.1290337133363886,4.424346923828125,7.092894753949166e-06,2.0,21820,,,,,,,,,,,
,,,2.0,21820,1.1789393424987793,0.49871814076929893,0.4995722496992381,268.3834,278.743,8.711,,,,,
1.0355515295600366,8.922411918640137,6.500682571670026e-10,3.0,32730,,,,,,,,,,,
,,,3.0,32730,1.202255129814148,0.500556561904604,0.5014169228712739,268.2802,278.85,8.715,,,,,
,,,3.0,32730,,,,,,,13695.0027,76.476,2.39,3.468622514861952e+16,1.1427197907118851
