loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_accuracy,eval_f1_class_0,eval_f1_class_1,eval_f1_class_2,eval_f1_class_3,eval_f1_class_4,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
6.4366943359375,2.0486650466918945,7.860952004740273e-07,0.0071111111111111115,200,,,,,,,,,,,,,,,,
6.41446533203125,1.6389635801315308,1.576140628086115e-06,0.014222222222222223,400,,,,,,,,,,,,,,,,
6.3415869140625,2.7566945552825928,2.3661860556982027e-06,0.021333333333333333,600,,,,,,,,,,,,,,,,
6.201270751953125,2.421884298324585,3.156231483310291e-06,0.028444444444444446,800,,,,,,,,,,,,,,,,
5.997489624023437,3.2969954013824463,3.946276910922378e-06,0.035555555555555556,1000,,,,,,,,,,,,,,,,
5.795108642578125,3.100379467010498,4.736322338534466e-06,0.042666666666666665,1200,,,,,,,,,,,,,,,,
5.667322387695313,3.6000351905822754,5.526367766146554e-06,0.049777777777777775,1400,,,,,,,,,,,,,,,,
5.541497802734375,5.581921100616455,6.316413193758642e-06,0.05688888888888889,1600,,,,,,,,,,,,,,,,
5.520877075195313,4.562240123748779,7.10645862137073e-06,0.064,1800,,,,,,,,,,,,,,,,
5.3988623046875,5.55797004699707,7.896504048982817e-06,0.07111111111111111,2000,,,,,,,,,,,,,,,,
5.352269897460937,3.41105055809021,8.686549476594905e-06,0.07822222222222222,2200,,,,,,,,,,,,,,,,
5.327329711914063,3.8266355991363525,9.476594904206992e-06,0.08533333333333333,2400,,,,,,,,,,,,,,,,
5.2756195068359375,4.012617111206055,1.0266640331819079e-05,0.09244444444444444,2600,,,,,,,,,,,,,,,,
5.235087890625,4.3387451171875,1.1056685759431168e-05,0.09955555555555555,2800,,,,,,,,,,,,,,,,
5.2701263427734375,3.4395766258239746,1.1846731187043256e-05,0.10666666666666667,3000,,,,,,,,,,,,,,,,
5.227548828125,3.671358823776245,1.2636776614655343e-05,0.11377777777777778,3200,,,,,,,,,,,,,,,,
