loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_f1_macro,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.8883010864257814,1.694083333015442,2.8947368421052634e-06,0.026333113890717578,100,,,,,,,,,,,
3.65435546875,3.8479769229888916,5.8187134502923985e-06,0.052666227781435156,200,,,,,,,,,,,
2.9655572509765626,3.7043545246124268,8.742690058479532e-06,0.07899934167215274,300,,,,,,,,,,,
2.09247314453125,3.8353846073150635,1.1666666666666668e-05,0.10533245556287031,400,,,,,,,,,,,
1.3063397216796875,3.992680788040161,1.4590643274853802e-05,0.1316655694535879,500,,,,,,,,,,,
0.8296256256103516,9.807106971740723,1.7514619883040936e-05,0.15799868334430547,600,,,,,,,,,,,
0.6013461303710937,3.857135772705078,1.9971988795518208e-05,0.18433179723502305,700,,,,,,,,,,,
0.461429443359375,7.631331920623779,1.9785247432306257e-05,0.21066491112574062,800,,,,,,,,,,,
0.4565082550048828,46.40884017944336,1.9598506069094306e-05,0.2369980250164582,900,,,,,,,,,,,
0.448564338684082,2.173973560333252,1.9411764705882355e-05,0.2633311389071758,1000,,,,,,,,,,,
0.3625644302368164,1.2688090801239014,1.9225023342670404e-05,0.2896642527978934,1100,,,,,,,,,,,
0.3932763671875,3.714522123336792,1.903828197945845e-05,0.31599736668861095,1200,,,,,,,,,,,
0.299345531463623,0.23874132335186005,1.8851540616246498e-05,0.3423304805793285,1300,,,,,,,,,,,
0.33426536560058595,0.4528888165950775,1.866479925303455e-05,0.3686635944700461,1400,,,,,,,,,,,
0.373501091003418,1.356276035308838,1.84780578898226e-05,0.39499670836076367,1500,,,,,,,,,,,
0.36077476501464845,4.744297027587891,1.8291316526610645e-05,0.42132982225148125,1600,,,,,,,,,,,
0.273754825592041,2.1138923168182373,1.8104575163398694e-05,0.4476629361421988,1700,,,,,,,,,,,
0.2695992660522461,7.240325450897217,1.7917833800186743e-05,0.4739960500329164,1800,,,,,,,,,,,
0.23550054550170899,0.7917762994766235,1.7731092436974792e-05,0.500329163923634,1900,,,,,,,,,,,
0.26289241790771484,0.1380767971277237,1.754435107376284e-05,0.5266622778143516,2000,,,,,,,,,,,
0.25341196060180665,19.102270126342773,1.735760971055089e-05,0.5529953917050692,2100,,,,,,,,,,,
0.23040189743041992,0.7644192576408386,1.7170868347338936e-05,0.5793285055957867,2200,,,,,,,,,,,
0.23332500457763672,3.657628297805786,1.6984126984126985e-05,0.6056616194865043,2300,,,,,,,,,,,
0.24003107070922852,0.6297502517700195,1.6797385620915034e-05,0.6319947333772219,2400,,,,,,,,,,,
0.18859210968017578,0.4614788293838501,1.6610644257703083e-05,0.6583278472679395,2500,,,,,,,,,,,
0.24898420333862303,0.13782283663749695,1.6423902894491132e-05,0.684660961158657,2600,,,,,,,,,,,
0.2547633743286133,27.21005630493164,1.623716153127918e-05,0.7109940750493746,2700,,,,,,,,,,,
0.298840274810791,5.345153331756592,1.605042016806723e-05,0.7373271889400922,2800,,,,,,,,,,,
